Benchmark,Root Struct,Mode,Result,Time Seconds,Message
SumPooling2D_test,SumPooling2D_1,wp,error,0.550587,"LLVM ERROR: arbitrary function calls not supported yet
 #0 0x0000000104c5da74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000104c5b584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000104c5e65c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 "
aes_256_ctr_test,AES256CTR_8,verify,timeout,120.097389,timeout
aes_256_ctr_test,AES256CTR_8,wp,error,1.980361,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000100661a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x000000010065f584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x000000010066265c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
aes_256_encrypt_test,AES256Encrypt_6,verify,timeout,120.086092,timeout
aes_256_encrypt_test,AES256Encrypt_6,wp,error,1.432406,"LLVM ERROR: unknown op: array.extract
 #0 0x000000010146da74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x000000010146b584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x000000010146e65c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
aes_256_key_expansion_test,AES256KeyExpansion_3,verify,timeout,120.081311,timeout
aes_256_key_expansion_test,AES256KeyExpansion_3,wp,error,1.536106,"LLVM ERROR: unknown op: array.extract
 #0 0x00000001053f9a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x00000001053f7584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x00000001053fa65c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
aliascheck_test,AliasCheck_2,verify,error,33.177685,"Assertion failed: ((((slen-1)*64)/22 <= numbits || radix != 10) && ""Insufficient bit width""), function fromString, file /nix/var/nix/builds/nix-24581-489863541/llvm-src-20.1.8/llvm/lib/Support/APInt.cpp, line 2106.
 #0 0x0000000105459a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000105457584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x000000010545a65c Signa"
aliascheck_test,AliasCheck_2,wp,error,0.274357,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000104be5a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000104be3584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000104be665c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
babyadd_tester,BabyAdd_0,verify,verified,7.580293,
babyadd_tester,BabyAdd_0,wp,timeout,120.051895,timeout
babycheck_test,BabyCheck_0,verify,verified,2.831819,
babycheck_test,BabyCheck_0,wp,verified,0.126773,unsat
binsub_test,A_3,verify,error,33.953405,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x000000010266da74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x000000010266b584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x000000010266e65c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
binsub_test,A_3,wp,error,0.212379,"LLVM ERROR: arbitrary function calls not supported yet
 #0 0x0000000102d01a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000102cff584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000102d0265c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 "
calculateTotal_test,CalculateTotal_0,verify,verified,1.195620,
calculateTotal_test,CalculateTotal_0,wp,verified,0.125455,unsat
calculateTotal_test_fused,CalculateTotal_0,verify,verified,1.032204,
calculateTotal_test_fused,CalculateTotal_0,wp,verified,0.186956,unsat
chi_test,Chi_6,verify,timeout,120.089436,timeout
chi_test,Chi_6,wp,error,1.717062,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000100cf1a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000100cef584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000100cf265c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
constants_test,A_1,verify,timeout,120.050865,timeout
constants_test,A_1,wp,error,0.588450,"LLVM ERROR: arbitrary function calls not supported yet
 #0 0x0000000100881a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x000000010087f584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x000000010088265c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 "
decryptMultiple_test,DecryptBits_1,verify,timeout,120.065175,timeout
decryptMultiple_test,DecryptBits_1,wp,error,0.808282,"libc++abi: terminating due to uncaught exception of type cvc5::CVC5ApiException: expecting an arithmetic subterm
 #0 0x0000000102fe1a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000102fdf584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000102fe265c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 ("
decrypt_test,Decrypt_1,verify,timeout,120.032967,timeout
decrypt_test,Decrypt_1,wp,error,0.700842,"libc++abi: terminating due to uncaught exception of type cvc5::CVC5ApiException: expecting an arithmetic subterm
 #0 0x00000001049dda74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x00000001049db584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x00000001049de65c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 ("
edwards2montgomery,Edwards2Montgomery_0,verify,verified,2.221858,
edwards2montgomery,Edwards2Montgomery_0,wp,counterexample,4.788924,sat
encryptMultiple_test,EncryptBits_2,verify,timeout,120.096809,timeout
